nutrients,serving_normal,per_100g_normal,serving_fat_free,per_100g_fat_free
Energy (kj),170,850,42,205
Protein (g),less than 1,less than 1,less than 1,less than 1
Fat (g),3.7,18.5,0,0
Saturated Fat (g),0.4,2.2,0,0
Carbohydrate (g),1.9,9.6,2.4,11.7
Sugars (g),1.8,8.9,2.2,10.9
Sodium (mg),169,845,205,1035
