nutrients,serving_normal,per_100g_normal,serving_fat_free,per_100g_fat_free
Energy (kj),186,930,64,320
Protein (g),less than 1,less than 1,Less than 1,Less than 1
Fat (g),4,17.57,0,0
Saturated Fat (g),0,2.12,0,0
Carbohydrate (g),3,13.60,3.7,18.6
Sugars (g),2,12.2,3.3,16.3
Sodium (mg),211,1055,219,1095
